date,A,A_dplan_guard,v1_matched,0050
2026-05-25,3654055900.1316266,3665060565.504071,3311503999.760131,1968279492.8109865
2026-05-26,3686359126.812885,3709651770.713285,3355429867.2068653,1955295892.8109865
2026-05-27,3739111483.6466103,3780677612.341461,3401064590.602035,2000738549.41499
2026-05-28,3623028501.0004153,3680548500.833546,3309959276.232804,1962715092.8109865
2026-05-29,3735887251.982197,3801720388.956368,3387491319.535815,2053600321.112988
2026-06-01,3805654394.3528514,3864587010.422873,3410480319.1333795,2055455092.8109865
2026-06-02,3735917863.122134,3801603425.610931,3328353519.659038,2059164636.2069824
2026-06-03,3790125886.9594216,3870429764.5873375,3357459835.79365,2094405864.5089843
2026-06-04,3687713414.299896,3758501667.4948087,3290580612.220817,2066583864.5089843
2026-06-05,3669285724.643527,3724588750.802502,3232054262.132943,2030415321.112988
2026-06-08,3509099643.037389,3557903755.4274817,3111500548.067381,1971061636.2069824
2026-06-09,3648448361.1612353,3721139316.741625,3236208574.915225,2018359092.8109865
2026-06-10,3497286091.009762,3559571004.0457907,3075209291.983104,1958078092.8109865
